time,exchange,ask1,bid1,deltapos,price,volume,direction,ordlocalid
93058000,0,2347900,2342500,0,2348100,1111,2,-1
93104000,0,2348500,2345400,-1111,2348400,1111,2,-3
93207000,0,2353800,2351900,-2222,2354200,1111,2,-4
93313000,0,2352400,2352100,-3333,2352700,1111,2,-5
93416000,0,2346100,2344700,-4444,2345800,1111,2,-6
93519000,0,2353200,2350000,-5555,2353300,1111,2,-7
93622000,0,2354900,2354100,-6666,2354700,1111,2,-8
93725000,0,2361800,2357600,-7777,2362200,1111,2,-9
93828000,0,2361600,2360100,-8888,2361100,1111,2,-10
