localid,direction,volume,price,matchamount,deltapos,matchtime,matchtype
-1,S,1111,122000,135542000,-1111,93057090,T
-2,S,1111,121800,135319800,-2222,93106090,T
-3,S,1111,121500,134986500,-3333,93209090,T
-4,S,1111,121900,135430900,-4444,93312090,T
-5,S,1111,121800,135319800,-5555,93415090,T
-6,S,1111,122000,135542000,-6666,93518090,T
-7,S,1111,122000,135542000,-7777,93621090,T
-8,S,1111,122100,135653100,-8888,93724090,T
-9,S,1111,122200,135764200,-9999,93827090,T
