date,sym,side,start-time,end-time,volume
2023/8/29,300705.SZ,BUY,z 09:30:00,z 09:40:00,26200
2023/8/29,300708.SZ,BUY,z 09:30:00,z 09:40:00,118100
2023/8/29,300791.SZ,SELL,z 09:30:00,z 09:39:30,4000
2023/8/29,300844.SZ,SELL,z 09:30:00,z 09:39:30,4900
2023/8/29,300856.SZ,BUY,z 09:30:00,z 09:40:00,8500
2023/8/29,300866.SZ,BUY,z 09:30:00,z 09:40:00,100
2023/8/29,300870.SZ,SELL,z 09:30:00,z 09:39:30,11000
2023/8/29,301029.SZ,SELL,z 09:30:00,z 09:49:30,36000
2023/8/29,301165.SZ,SELL,z 09:30:00,z 09:39:30,30876
2023/8/29,301281.SZ,SELL,z 09:30:00,z 09:39:30,2500
2023/8/29,301283.SZ,SELL,z 09:30:00,z 09:39:30,21500
2023/8/29,301316.SZ,SELL,z 09:30:00,z 09:39:30,200
2023/8/29,301322.SZ,SELL,z 09:30:00,z 09:39:30,1527
2023/8/29,301331.SZ,SELL,z 09:30:00,z 09:39:30,7300
2023/8/29,301337.SZ,SELL,z 09:30:00,z 09:39:30,900
2023/8/29,301345.SZ,SELL,z 09:30:00,z 09:39:30,11800
2023/8/29,301363.SZ,BUY,z 09:30:00,z 09:40:00,6300
2023/8/29,301379.SZ,BUY,z 09:30:00,z 09:40:00,15200
2023/8/29,301387.SZ,BUY,z 09:30:00,z 09:40:00,800
2023/8/29,301391.SZ,SELL,z 09:30:00,z 09:39:30,1800
2023/8/29,301408.SZ,SELL,z 09:30:00,z 09:39:30,22300
2023/8/29,301419.SZ,SELL,z 09:30:00,z 09:39:30,14800
2023/8/29,600011.SH,BUY,z 09:30:00,z 09:40:00,23100
2023/8/29,600143.SH,BUY,z 09:30:00,z 09:40:00,99800
2023/8/29,600157.SH,BUY,z 09:30:00,z 09:40:00,81800
2023/8/29,600211.SH,SELL,z 09:30:00,z 09:39:30,700
2023/8/29,600221.SH,BUY,z 09:30:00,z 09:40:00,209900
2023/8/29,600234.SH,SELL,z 09:30:00,z 10:19:30,116300
2023/8/29,600292.SH,SELL,z 09:30:00,z 09:39:30,135700
2023/8/29,600321.SH,SELL,z 09:30:00,z 09:39:30,196600
2023/8/29,600362.SH,SELL,z 09:30:00,z 09:39:30,152400
2023/8/29,600438.SH,SELL,z 09:30:00,z 09:39:30,72386
2023/8/29,600456.SH,SELL,z 09:30:00,z 09:39:30,8500
2023/8/29,600487.SH,SELL,z 09:30:00,z 09:39:30,60000
2023/8/29,600508.SH,SELL,z 09:30:00,z 09:39:30,18300
2023/8/29,600510.SH,SELL,z 09:30:00,z 09:49:30,214600
2023/8/29,600515.SH,BUY,z 09:30:00,z 09:40:00,279000
2023/8/29,600535.SH,SELL,z 09:30:00,z 09:39:30,4900
2023/8/29,600565.SH,SELL,z 09:30:00,z 09:39:30,398800
2023/8/29,600566.SH,BUY,z 09:30:00,z 09:40:00,33200
2023/8/29,600577.SH,BUY,z 09:30:00,z 09:40:00,294300
2023/8/29,600582.SH,BUY,z 09:30:00,z 09:40:00,303500
2023/8/29,600587.SH,BUY,z 09:30:00,z 09:40:00,32400
2023/8/29,600600.SH,SELL,z 09:30:00,z 09:39:30,3800
2023/8/29,600611.SH,SELL,z 09:30:00,z 09:59:30,548300
2023/8/29,600637.SH,SELL,z 09:30:00,z 09:39:30,11700
2023/8/29,600667.SH,BUY,z 09:30:00,z 09:40:00,61000
2023/8/29,600690.SH,SELL,z 09:30:00,z 09:39:30,15100
2023/8/29,600718.SH,BUY,z 09:30:00,z 09:40:00,5300
2023/8/29,600754.SH,BUY,z 09:30:00,z 09:40:00,28200
2023/8/29,600809.SH,SELL,z 09:30:00,z 09:39:30,5400
2023/8/29,600859.SH,BUY,z 09:30:00,z 09:40:00,36800
2023/8/29,600871.SH,SELL,z 09:30:00,z 09:39:30,1198000
2023/8/29,600886.SH,SELL,z 09:30:00,z 09:39:30,700
2023/8/29,600926.SH,SELL,z 09:30:00,z 09:39:30,4800
2023/8/29,600958.SH,BUY,z 09:30:00,z 09:40:00,115100
2023/8/29,600977.SH,BUY,z 09:30:00,z 09:40:00,23500
2023/8/29,600985.SH,SELL,z 09:30:00,z 09:39:30,14900
2023/8/29,600995.SH,BUY,z 09:30:00,z 09:40:00,10700
2023/8/29,600999.SH,SELL,z 09:30:00,z 09:39:30,2900
2023/8/29,601020.SH,SELL,z 09:30:00,z 09:39:30,217600
2023/8/29,601022.SH,BUY,z 09:30:00,z 09:40:00,64500
2023/8/29,601061.SH,BUY,z 09:30:00,z 09:40:00,20100
2023/8/29,601138.SH,SELL,z 09:30:00,z 09:39:30,50000
2023/8/29,601168.SH,SELL,z 09:30:00,z 09:39:30,15400
2023/8/29,601187.SH,BUY,z 09:30:00,z 09:40:00,195300
2023/8/29,601318.SH,SELL,z 09:30:00,z 09:39:30,2100
2023/8/29,601319.SH,SELL,z 09:30:00,z 09:39:30,14700
2023/8/29,601336.SH,SELL,z 09:30:00,z 09:39:30,700
2023/8/29,601577.SH,BUY,z 09:30:00,z 09:40:00,40000
2023/8/29,601601.SH,SELL,z 09:30:00,z 09:39:30,22700
2023/8/29,601618.SH,BUY,z 09:30:00,z 09:40:00,290000
2023/8/29,601669.SH,BUY,z 09:30:00,z 09:40:00,145900
2023/8/29,601766.SH,SELL,z 09:30:00,z 09:39:30,139900
2023/8/29,601801.SH,BUY,z 09:30:00,z 09:40:00,26500
2023/8/29,601816.SH,SELL,z 09:30:00,z 09:39:30,7200
2023/8/29,601877.SH,SELL,z 09:30:00,z 09:39:30,24300
2023/8/29,601898.SH,SELL,z 09:30:00,z 09:39:30,186700
2023/8/29,601916.SH,BUY,z 09:30:00,z 09:40:00,113200
2023/8/29,601988.SH,SELL,z 09:30:00,z 09:39:30,144600
2023/8/29,601998.SH,BUY,z 09:30:00,z 09:40:00,500100
2023/8/29,603063.SH,BUY,z 09:30:00,z 09:40:00,55700
2023/8/29,603067.SH,SELL,z 09:30:00,z 09:59:30,196200
2023/8/29,603073.SH,BUY,z 09:30:00,z 09:40:00,1600
2023/8/29,603093.SH,BUY,z 09:30:00,z 09:40:00,34200
2023/8/29,603153.SH,BUY,z 09:30:00,z 09:40:00,8400
2023/8/29,603170.SH,SELL,z 09:30:00,z 09:39:30,6500
2023/8/29,603215.SH,BUY,z 09:30:00,z 09:40:00,49000
2023/8/29,603218.SH,SELL,z 09:30:00,z 09:39:30,5500
2023/8/29,603228.SH,SELL,z 09:30:00,z 09:39:30,48600
2023/8/29,603233.SH,BUY,z 09:30:00,z 09:40:00,70200
2023/8/29,603280.SH,BUY,z 09:30:00,z 09:40:00,1200
2023/8/29,603298.SH,SELL,z 09:30:00,z 09:39:30,8600
2023/8/29,603317.SH,SELL,z 09:30:00,z 09:39:30,51640
2023/8/29,603333.SH,SELL,z 09:30:00,z 09:39:30,21700
2023/8/29,603516.SH,SELL,z 09:30:00,z 09:39:30,15500
2023/8/29,603533.SH,BUY,z 09:30:00,z 09:40:00,26300
2023/8/29,603605.SH,BUY,z 09:30:00,z 09:40:00,8800
2023/8/29,603661.SH,SELL,z 09:30:00,z 09:59:30,16800
2023/8/29,603868.SH,BUY,z 09:30:00,z 09:40:00,2700
2023/8/29,603878.SH,BUY,z 09:30:00,z 09:40:00,65600
2023/8/29,603881.SH,SELL,z 09:30:00,z 09:39:30,18900
2023/8/29,603927.SH,BUY,z 09:30:00,z 09:40:00,7800
2023/8/29,603997.SH,SELL,z 09:30:00,z 09:39:30,29800
2023/8/29,605009.SH,SELL,z 09:30:00,z 09:39:30,19900
2023/8/29,605086.SH,BUY,z 09:30:00,z 09:40:00,15300
2023/8/29,605108.SH,SELL,z 09:30:00,z 09:39:30,22300
2023/8/29,605299.SH,SELL,z 09:30:00,z 09:39:30,34200
2023/8/29,605319.SH,BUY,z 09:30:00,z 09:40:00,45100
2023/8/29,605599.SH,SELL,z 09:30:00,z 09:39:30,79100
2023/8/29,688013.SH,SELL,z 09:30:00,z 09:39:30,16900
2023/8/29,688070.SH,SELL,z 09:30:00,z 09:49:30,11400
2023/8/29,688073.SH,SELL,z 09:30:00,z 09:39:30,4500
