,date,sym,side,start-time,end-time,volume
152,2023/8/29,601318.SH,SELL,z 09:30:00,z 09:39:30,2100
153,2023/8/29,601319.SH,SELL,z 09:30:00,z 09:39:30,14700
154,2023/8/29,601336.SH,SELL,z 09:30:00,z 09:39:30,700
156,2023/8/29,601601.SH,SELL,z 09:30:00,z 09:39:30,22700
159,2023/8/29,601766.SH,SELL,z 09:30:00,z 09:39:30,139900
161,2023/8/29,601816.SH,SELL,z 09:30:00,z 09:39:30,7200
162,2023/8/29,601877.SH,SELL,z 09:30:00,z 09:39:30,24300
163,2023/8/29,601898.SH,SELL,z 09:30:00,z 09:39:30,186700
165,2023/8/29,601988.SH,SELL,z 09:30:00,z 09:39:30,144600
168,2023/8/29,603067.SH,SELL,z 09:30:00,z 09:59:30,196200
172,2023/8/29,603170.SH,SELL,z 09:30:00,z 09:39:30,6500
174,2023/8/29,603218.SH,SELL,z 09:30:00,z 09:39:30,5500
175,2023/8/29,603228.SH,SELL,z 09:30:00,z 09:39:30,48600
178,2023/8/29,603298.SH,SELL,z 09:30:00,z 09:39:30,8600
179,2023/8/29,603317.SH,SELL,z 09:30:00,z 09:39:30,51640
180,2023/8/29,603333.SH,SELL,z 09:30:00,z 09:39:30,21700
181,2023/8/29,603516.SH,SELL,z 09:30:00,z 09:39:30,15500
184,2023/8/29,603661.SH,SELL,z 09:30:00,z 09:59:30,16800
187,2023/8/29,603881.SH,SELL,z 09:30:00,z 09:39:30,18900
189,2023/8/29,603997.SH,SELL,z 09:30:00,z 09:39:30,29800
190,2023/8/29,605009.SH,SELL,z 09:30:00,z 09:39:30,19900
192,2023/8/29,605108.SH,SELL,z 09:30:00,z 09:39:30,22300
193,2023/8/29,605299.SH,SELL,z 09:30:00,z 09:39:30,34200
195,2023/8/29,605599.SH,SELL,z 09:30:00,z 09:39:30,79100
196,2023/8/29,688013.SH,SELL,z 09:30:00,z 09:39:30,16900
197,2023/8/29,688070.SH,SELL,z 09:30:00,z 09:49:30,11400
198,2023/8/29,688073.SH,SELL,z 09:30:00,z 09:39:30,4500
199,2023/8/29,688082.SH,SELL,z 09:30:00,z 09:39:30,11000
