localid,direction,volume,price,matchamount,deltapos,matchtime,matchtype
-1,S,526,105800,55650800,-526,93057090,T
-3,S,526,106200,55861200,-1052,93103090,T
-4,S,526,105800,55650800,-1578,93206090,T
-5,S,526,105800,55650800,-2104,93306090,T
-6,S,526,105600,55545600,-2630,93409090,T
-7,S,526,105700,55598200,-3156,93551090,T
-8,S,526,105900,55703400,-3682,93612090,T
-9,S,526,105900,55703400,-4208,93712090,T
-10,S,526,105800,55650800,-4734,93815090,T
-11,S,526,106000,55756000,-5260,93933090,T
-12,S,526,106000,55756000,-5786,94018090,T
-13,S,526,106100,55808600,-6312,94118090,T
-14,S,526,106100,55808600,-6838,94318090,T
-16,S,526,106000,55756000,-7364,94321090,T
-17,S,526,106400,55966400,-7890,94424090,T
-18,S,526,106300,55913800,-8416,94524090,T
-19,S,526,106400,55966400,-8942,94627090,T
