time,exchange,ask1,bid1,deltapos,price,volume,direction,ordlocalid
93057000,0,1558700,1558600,0,1558900,1111,2,-1
93106000,0,1559400,1559100,-1111,1559400,1111,2,-2
93209000,0,1567700,1566900,-2222,1568100,1111,2,-3
93312000,0,1564600,1564500,-3333,1564900,1111,2,-4
93415000,0,1558100,1557400,-4444,1558300,1111,2,-5
93518000,0,1557500,1557400,-5555,1557700,1111,2,-6
93621000,0,1562200,1561200,-6666,1562500,1111,2,-7
93724000,0,1570100,1569000,-7777,1569600,1111,2,-8
93827000,0,1569400,1569200,-8888,1568900,1111,2,-9
