episode,timestep,reward
34,800,22.7941
75,1600,19.8293
106,2400,24.9677
134,3200,28.3929
156,4000,37.5455
179,4800,35.4348
191,5600,61.9167
204,6400,61.0769
214,7200,82.4
221,8000,114.4286
229,8800,101.0
235,9600,126.0
242,10400,110.2857
