time,exchange,ask1,bid1,deltapos,price,volume,direction,ordlocalid
93057000,0,485800,485500,0,486300,1000,2,-1
93103000,0,485300,484700,-1000,485800,1000,2,-3
93203000,0,489700,489000,-2000,489600,1000,2,-4
93303000,0,489500,488900,-3000,489900,1000,2,-5
93403000,0,489000,488900,-4000,489000,1000,2,-6
93503000,0,490900,490600,-5000,490500,1000,2,-7
93603000,0,491200,490800,-6000,491500,1000,2,-8
93703000,0,491100,491000,-7000,490700,1000,2,-9
93803000,0,492300,491800,-8000,492700,1000,2,-10
93903000,0,491800,491500,-9000,492000,1000,2,-11
