localid,direction,volume,price,matchamount,deltapos,matchtime,matchtype
-1,S,1000,485500,485500000,-1000,93057090,T
-3,S,1000,484700,484700000,-2000,93103090,T
-4,S,1000,489000,489000000,-3000,93203090,T
-5,S,1000,488900,488900000,-4000,93303090,T
-6,S,1000,488900,488900000,-5000,93403090,T
-7,S,1000,490600,490600000,-6000,93503090,T
-8,S,1000,490800,490800000,-7000,93603090,T
-9,S,1000,491000,491000000,-8000,93703090,T
-10,S,1000,491800,491800000,-9000,93803090,T
-11,S,1000,491500,491500000,-10000,93903090,T
