localid,direction,volume,price,matchamount,deltapos,matchtime,matchtype
-1,B,1111,52600,58438600,1111,93057320,T
-2,B,1111,52600,58438600,2222,93107050,T
-3,B,1111,52700,58549700,3333,93222050,T
-4,B,1111,52500,58327500,4444,93320420,T
-5,B,1111,52400,58216400,5555,93421590,T
-6,B,1111,52500,58327500,6666,93523650,T
-7,B,1111,52400,58216400,7777,93628110,T
-8,B,1111,0,0,7777,93824090,D
-10,B,1111,52300,58105300,8888,93839400,T
