time,exchange,ask1,bid1,deltapos,price,volume,direction,ordlocalid
93100000,0,345800,345300,0,345300,526,2,-1
93103000,0,345800,345500,-526,345600,526,2,-3
93206000,0,347600,347300,-1052,347300,526,2,-4
93306000,0,348000,347800,-1578,348200,526,2,-5
93409000,0,345900,345600,-2104,345700,526,2,-6
93509000,0,347600,347400,-2630,348100,526,2,-7
93612000,0,347200,346800,-3156,346700,526,2,-8
93712000,0,346600,345900,-3682,346700,526,2,-9
93815000,0,347100,346700,-4208,346900,526,2,-10
93915000,0,346500,346200,-4734,346900,526,2,-11
94018000,0,346800,346500,-5260,347100,526,2,-12
94118000,0,346600,346500,-5786,346900,526,2,-13
94221000,0,346200,346100,-6312,346400,526,2,-14
94321000,0,346500,346300,-6838,346300,526,2,-15
94424000,0,348400,347900,-7364,348200,526,2,-16
94557000,0,348600,347900,-7890,348300,526,2,-17
94627000,0,349300,348800,-8416,349800,526,2,-18
94727000,0,347800,347600,-8942,347400,526,2,-19
94927000,0,348400,347800,-9468,348800,526,2,-20
